OBJECTID,Name,Jurisdiction,County,Type,Sub_Type,Status,Acres,Source,centroid_lat,centroid_lon
26423,MARGARET AGLER PARK COH,,FRA,PARK,C,,,Columbus,40.0257583,-82.9350321
26424,SUNBURY WOODS PARKLAND,Columbus,FRA,PARK,CON,,,Columbus,40.0205252,-82.9332972
26425,CONFLUENCE VILLAGE PARK,,FRA,PARK,N,,,Columbus,39.9679880,-83.0198703
26426,NOE-BIXBY PARKLAND COH,Columbus,FRA,PARK,PRES,,,Columbus,39.9739600,-82.8606899
26427,MCNAUGHTEN ROAD GREENSPACE PROTECTION COH,,FRA,GREEN SPACE,NOS,,,Columbus,39.9475570,-82.8407015
26428,KEMP PARKLAND,,FRA,PARK,NOS,,,Columbus,40.1088661,-82.8511023
26429,CROSSINGS PARKLAND,,FRA,PARK,NOS,,,Columbus,40.1028751,-82.8438164
26430,Merchant Park,Hilliard,FRA,PARK,N,,,illiard,40.0364153,-83.1646626
26431,Mildred Park,Hilliard,FRA,PARK,N,,,Hilliard,40.0467906,-83.1322865
26435,Three Creeks Park,,FRA,PARK,M,,,,39.8803101,-82.8780905
26436,,,FRA,GREEN SPACE,NOS,,,,39.8763491,-82.8775084
26437,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9815820,-83.0661943
26438,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9945722,-83.0796457
26439,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9958355,-83.0793697
26440,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9933669,-83.0761256
26441,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9934047,-83.1647988
26442,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9934633,-83.1621227
26443,,,FRA,GREEN SPACE,NOS,,,Parcels,,
26444,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0325786,-83.1207490
26445,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0326338,-83.1210350
26446,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0331561,-83.1185136
26447,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0432390,-83.1732787
26448,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0363219,-83.1798850
26449,,,FRA,GREEN SPACE,NOS,,,Parcels,,
26450,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0333562,-83.1740830
26451,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0334869,-83.1714496
26452,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0373027,-83.1772181
26453,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0369302,-83.1837319
26454,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0423736,-83.1732753
26455,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0370189,-83.1227451
26456,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0362676,-83.1199914
26457,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0376533,-83.1886151
26458,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0235734,-83.1872057
26459,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0189322,-83.1910571
26460,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0204799,-83.1968364
26461,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0254378,-83.1922908
26462,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0240138,-83.1890339
26463,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0159871,-83.1994113
26464,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0391579,-83.2028772
26465,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0005292,-83.1913377
26466,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0022840,-83.1884038
26467,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0358299,-83.1968423
