OBJECTID,County,LocalParcelID,StateParcelID,Name,Situs Address All,Owner All,Mail Address,Mail State,AgencyName,Calculated Acreage,Auditor Link
9036,Franklin,010-025537,39049-010-025537,,,,,,HIGHER EDUCATION,0.109465263503148,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-025537
9037,Franklin,010-032069,39049-010-032069,,,,,,HIGHER EDUCATION,0.135190533800591,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-032069
9038,Franklin,010-045364,39049-010-045364,,,,,,HIGHER EDUCATION,0.0365470306973369,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-045364
9039,Franklin,010-056530,39049-010-056530,,,,,,HIGHER EDUCATION,0.3536338902327,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-056530
9040,Franklin,010-004690,39049-010-004690,,,,,,HIGHER EDUCATION,0.136256596751451,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-004690
9041,Franklin,010-015131,39049-010-015131,,,,,,HIGHER EDUCATION,0.113494796488533,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-015131
9042,Franklin,010-028437,39049-010-028437,,,,,,HIGHER EDUCATION,0.150020920967402,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-028437
9043,Franklin,010-041864,39049-010-041864,,,,,,HIGHER EDUCATION,0.208881224125714,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-041864
9044,Franklin,010-070361,39049-010-070361,,,,,,HIGHER EDUCATION,0.0487126102842594,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-070361
9045,Franklin,025-009952,39049-025-009952,,,,,,HIGHER EDUCATION,2.80513642834304,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/025-009952
9046,Franklin,100-002699,39049-100-002699,,,,,,TRANSPORTATION,1.6388168156299,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/100-002699
9047,Franklin,600-110595,39049-600-110595,,,,,,ROW,9.24385906837746,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/600-110595
9048,Franklin,010-023432,39049-010-023432,,,,,,HIGHER EDUCATION,0.158766120491437,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-023432
9049,Franklin,010-256720,39049-010-256720,,,,,,HIGHER EDUCATION,7.67047914057841,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-256720
9050,Franklin,230-001871,39049-230-001871,,,,,,TRANSPORTATION,7.45551079549912,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/230-001871
9051,Franklin,610-159037,39049-610-159037,,,,,,HIGHER EDUCATION,1.99513283771755,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/610-159037
9052,Franklin,010-291768,39049-010-291768,,,,,,ADJUTANT GENERAL,8.03999633170128,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-291768
9053,Franklin,254-103181,39049-254-103181,,,,,,TRANSPORTATION,0.0310283934958258,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/254-103181
9054,Franklin,010-002445,39049-010-002445,,,,,,HIGHER EDUCATION,0.191596742901687,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-002445
